Date,Min,Average,Max,First,Last
24.05.2019 0:00,1.11777,1.11922,1.12125,1.11832,1.12035
25.05.2019 0:00,1.12048,1.12065,1.12065,1.12065,1.12065
26.05.2019 0:00,1.11949,1.12066,1.12115,1.12065,1.121
27.05.2019 0:00,1.11877,1.12004,1.12157,1.12101,1.11938
28.05.2019 0:00,1.11595,1.11829,1.11976,1.11934,1.11632
29.05.2019 0:00,1.11247,1.11528,1.11736,1.11648,1.11319
30.05.2019 0:00,1.11167,1.11357,1.11445,1.11357,1.11296
31.05.2019 0:00,1.11259,1.11474,1.11782,1.11301,1.11705
01.06.2019 0:00,1.11693,1.11984,1.11985,1.11985,1.11985
02.06.2019 0:00,1.1155,1.11926,1.11985,1.11985,1.11648
03.06.2019 0:00,1.11618,1.11945,1.12635,1.11678,1.1241
04.06.2019 0:00,1.12273,1.12502,1.12763,1.12441,1.12512
05.06.2019 0:00,1.12204,1.12577,1.13041,1.12537,1.12235
06.06.2019 0:00,1.1223,1.12504,1.13074,1.12265,1.12795
07.06.2019 0:00,1.12528,1.12925,1.13471,1.12759,1.13345
08.06.2019 0:00,1.13327,1.13415,1.13415,1.13415,1.13415
09.06.2019 0:00,1.13125,1.13396,1.13415,1.13415,1.1326
10.06.2019 0:00,1.12917,1.13108,1.13298,1.13277,1.13119
11.06.2019 0:00,1.13045,1.13188,1.13371,1.13132,1.13267
12.06.2019 0:00,1.12836,1.13204,1.13426,1.13276,1.12885
13.06.2019 0:00,1.12708,1.1288,1.13035,1.12918,1.1279
14.06.2019 0:00,1.1203,1.12543,1.12892,1.12773,1.12145
15.06.2019 0:00,1.12375,1.12375,1.12375,1.12375,1.12375
16.06.2019 0:00,1.12055,1.12351,1.12375,1.12375,1.12105
17.06.2019 0:00,1.12045,1.12214,1.12445,1.12127,1.12195
18.06.2019 0:00,1.11819,1.121,1.12427,1.12214,1.11936
19.06.2019 0:00,1.11869,1.12058,1.12526,1.1197,1.12271
20.06.2019 0:00,1.12295,1.128,1.13148,1.12295,1.12932
21.06.2019 0:00,1.12832,1.13166,1.13775,1.1293,1.13713
22.06.2019 0:00,1.13695,1.13955,1.13956,1.13956,1.13956
23.06.2019 0:00,1.1365,1.13935,1.13956,1.13956,1.13716
24.06.2019 0:00,1.13713,1.13865,1.14019,1.13733,1.13984
25.06.2019 0:00,1.1345,1.139,1.14125,1.13974,1.13673
26.06.2019 0:00,1.13505,1.13653,1.13896,1.13675,1.13701
27.06.2019 0:00,1.13481,1.13671,1.13804,1.13745,1.13701
28.06.2019 0:00,1.13546,1.13745,1.13928,1.13675,1.13713
29.06.2019 0:00,1.13699,1.13894,1.13895,1.13895,1.13895
30.06.2019 0:00,1.1355,1.1387,1.13895,1.13895,1.13609
01.07.2019 0:00,1.12816,1.13305,1.13714,1.13674,1.1286
